year,realized
1965,21.1 
1966,22.3
1967,23.6
1968,24.8
1969,24.6
1970,24.3
1971,24
1972,23.7
1973,23.4
1974,25
1975,26.6
1976,28.2
1977,29.8
1978,31.4
1979,34.1
1980,36.9
1981,39.6
1982,42.3
1983,45
1984,47.8
1985,50.5
1986,53.2
1987,55.9
1988,58.7
1989,61.4 
1990,77.3
1991,93.1
1992,109
1993,108.6
1994,87.4
1995,117.6
1996,150.6
1997,223.4
1998,297.4
1999,266.1
2000,365.7 
2001,210.6
2002,186.8
2003,228.8
2004,265.7
2005,318.4
2006,328.2
2007,330.9 
2008,206.7
2009,177.6
2010,213.1
2011,242.4
2012,371.7
2013,318.5
2014,326.6
2015,318.8
2016,271.6
2017,302.1
2018,293.3
2019,320.0 
