year,inflation_eps
1800,1
1801,1
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,1
1813,3
1814,4
1815,6
1816,2
1817,0
1818,0
1819,2
1820,2
1821,2
1822,0
1823,0
1824,0
1825,0
1826,0
1827,1
1828,1
1829,2
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,1
1838,0
1839,0
1840,0
1841,0
1842,1
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,1
1860,1
1861,0
1862,5
1863,5
1864,2
1865,0
1866,1
1867,0
1868,1
1869,0
1870,0
1871,0
1872,1
1873,0
1874,0
1875,0
1876,0
1877,1
1878,0
1879,1
1880,0
1881,0
1882,0
1883,1
1884,0
1885,3
1886,0
1887,0
1888,0
1889,1
1890,2
1891,6
1892,4
1893,6
1894,6
1895,1
1896,0
1897,1
1898,1
1899,0
1900,0
1901,4
1902,3
1903,1
1904,1
1905,2
1906,1
1907,1
1908,3
1909,2
1910,0
1911,1
1912,1
1913,0
1914,5
1915,9
1916,5
1917,5
1918,11
1919,17
1920,22
1921,18
1922,9
1923,8
1924,5
1925,3
1926,3
1927,0
1928,2
1929,5
1930,9
1931,12
1932,11
1933,11
1934,4
1935,7
1936,6
1937,4
1938,9
1939,12
1940,4
1941,5
1942,5
1943,10
1944,10
1945,5
1946,18
1947,11
1948,18
1949,17
1950,21
1951,6
1952,5
1953,5
1954,9
1955,5
1956,4
1957,9
1958,11
1959,7
1960,2
1961,1
1962,9
1963,6
1964,6
1965,7
1966,4
1967,12
1968,6
1969,2
1970,4
1971,7
1972,5
1973,3
1974,6
1975,8
1976,15
1977,12
1978,10
1979,14
1980,11
1981,17
1982,23
1983,21
1984,24
1985,22
1986,21
1987,16
1988,18
1989,25
1990,24
1991,20
1992,16
1993,18
1994,14
1995,14
1996,12
1997,17
1998,13
1999,12
2000,11
2001,7
2002,8
2003,5
2004,2
2005,11
2006,2
