year,quintile_1,quintile_2,quintile_3,quintile_4,quintile_5,top_5pct
2019,15286,40652,68938,111112,254449,451122
2018,13775,37293,63572,101570,233895,416520
2017,13258,35401,61564,99030,221846,385289
2016,12943,34504,59149,95178,213941,375088
2015,12457,32631,56832,92031,202366,350870
2014,11676,31087,54041,87834,194053,332347
2013,11594,30812,53741,86473,193352,334465
2012,11490,29696,51179,82098,181905,318052
2011,11239,29204,49842,80080,178020,311444
2010,10994,28532,49167,78877,169391,287201
2009,11552,29257,49534,78694,170844,295388
2008,11656,29517,50132,79760,171057,294709
2007,11551,29442,49968,79111,167971,287191
2006,11352,28777,48223,76329,168170,297405
2005,10655,27357,46301,72825,159583,281155
2004,10244,26212,44411,70026,151438,263896
2003,9996,25678,43588,68994,147078,253239
2002,9990,25400,42802,67326,143743,251010
2001,10136,25468,42629,66839,145970,260464
2000,10157,25361,42233,65653,142269,252400
1999,9915,24345,40750,63423,135250,235077
1998,9223,23288,38967,60266,127529,222283
1997,8839,22098,37177,57582,122764,215436
1996,8595,21097,35486,54922,115514,201220
1995,8345,20397,34106,52429,109411,188828
1994 ,7714,19224,32385,50395,105945,183044
1993,7359,18656,31272,48599,101253,173784
1992,7256,18181,30631,47021,91110,144608
1991,7226,18150,30148,45957,88127,137530
1990,7166,18030,29781,44901,87137,138756
1989,6994,17401,28925,43753,85529,138185
1988,6465,16317,27291,41254,78759,124215
1987,6132,15584,26055,39383,74897,118000
1986,5774,14853,24855,37443,70871,111024
1985,5614,14227,23615,35522,66353,102354
1984,5436,13540,22438,33784,62121,93774
1983,5053,12693,20986,31492,57819,87359
1982,4790,12121,20064,29840,54729,82697
1981,4602,11464,18991,28309,50568,75144
1980,4310,10727,17701,26078,46497,69484
1979,4006,9964,16428,24108,43265,65984
1978,3685,9050,14943,21890,39081,59486
1977,3335,8209,13579,19896,35480,54277
1976,3152,7717,12691,18430,32619,49700
1975,2909,7146,11724,17036,30078,45644
1974,2783,6917,11147,16099,28523,43355
1973,2539,6384,10471,15064,26953,41516
1972,2283,5897,9624,13817,24805,38447
1971,2092,5529,8965,12745,22583,34638
1970,1992,5396,8689,12248,21683,33281
1969,1932,5216,8335,11675,20520,31585
1968,1806,4842,7680,10713,18616,28461
1967,1600,4433,7077,9902,17820,28110
